u_mag,g_mag,r_mag,i_mag,zed_mag,Spec z
24.4351,24.3359,23.9915,24.0083,23.8464,2.1148
24.1342,23.8911,22.9403,22.7715,22.6059,0.2257
24.8857,25.0337,24.8517,24.9161,24.6372,1.4755
24.0149,23.9768,23.7331,23.6649,23.0985,1.28
25.3847,25.3938,24.1585,23.8543,23.6978,0.4921
26.1475,25.7757,24.6188,23.9742,23.8629,0.5359
25.3897,25.3637,24.9003,25.1213,24.7177,1.7936
24.5553,24.3232,23.8892,23.6417,23.2682,1.4469
24.5263,24.3636,23.1733,22.8275,22.581,0.5233
24.9221,24.7988,24.2869,23.6356,23.1341,0.921
26.3003,26.1119,25.1769,24.8246,24.7092,0.1237
25.9502,25.3082,24.9554,24.8463,24.7306,2.4082
26.3252,25.9213,24.9377,24.1833,23.7731,1.6515
24.744,24.7009,24.1876,23.9914,23.3613,1.1692
25.1653,24.9474,24.6818,24.5476,24.2441,1.9119
25.1335,25.1235,23.9881,23.823,23.6185,0.4334
24.6352,24.5339,24.273,24.1259,23.7104,1.2238
24.9408,24.9497,24.542,23.9969,23.7713,0.8113
25.2882,25.2908,25.0382,25.0524,24.2904,1.2788
25.4834,25.6036,24.8984,24.7969,24.5964,0.5185
25.7226,25.5457,25.0391,24.5065,24.2949,0.6461
24.6321,24.62,23.7208,23.1044,22.8203,0.7551
25.0636,25.2058,24.7144,24.0887,23.7868,0.8258
25.2697,24.8615,24.4751,24.4055,24.3331,2.4159
24.7234,24.4388,24.0996,23.9107,23.5969,1.6217
25.8828,25.6106,25.1319,24.7236,24.4191,1.7968
24.807,24.7472,24.2494,23.6469,23.3198,0.8305
25.1606,24.7483,24.2306,24.0631,23.8163,2.1075
26.2239,25.8322,24.8265,24.9258,24.773,2.6853
24.6507,24.659,24.0903,23.6625,23.4004,0.7533
25.7135,25.4344,24.8042,24.5218,23.982,1.4781
25.1402,25.143,23.8836,23.5948,23.4553,0.4993
24.9431,25.0367,24.411,23.9972,24.0919,0.6196
25.7815,25.5543,24.6627,24.3229,24.1052,0.5146
26.3894,26.2893,24.5338,23.4419,22.6179,0.9282
25.904,25.6457,24.6499,24.4786,24.6053,0.5599
25.2969,25.1285,24.7617,24.6316,24.5962,2.549
24.7056,24.7845,24.4841,23.9054,23.5483,1.028
25.387,25.4225,24.7184,24.2492,23.3791,1.3392
25.7549,25.6867,24.9918,24.3444,24.1114,0.6873
24.9164,24.8416,24.5642,24.568,24.208,1.6132
24.105,24.1454,23.5989,23.1506,22.8917,0.7497
24.801,24.367,23.2078,22.9821,22.8039,0.1986
25.5456,25.3272,24.1632,23.3799,23.0308,0.7415
24.7304,24.6916,23.7337,22.9022,22.3558,0.8742
24.3409,24.2594,23.3507,23.0374,22.668,0.5531
25.1749,24.8382,24.344,24.1884,23.8539,1.9909
24.7692,24.5104,23.3747,22.9198,22.6415,0.6048
25.4871,25.3422,24.5223,23.9689,23.7119,0.7148
23.8045,23.7167,22.8517,22.0763,21.6395,0.8187
25.78,25.4138,24.1498,23.945,23.7025,0.2971
24.9417,24.7843,24.4671,24.3175,24.286,2.2885
24.9111,25.0488,23.9227,23.4434,23.1757,0.6126
25.9587,25.3341,24.5198,24.3684,24.0575,2.7786
25.6977,25.7299,25.4179,25.1425,24.5221,1.1725
25.3789,25.1095,24.7225,24.5581,24.0808,1.2573
25.2074,25.1692,25.248,24.9669,24.4868,1.1488
24.9338,24.8701,24.5734,24.5342,24.5069,2.3471
25.6635,25.3218,24.2455,24.1212,23.8676,0.2112
24.5196,24.7081,24.3384,23.8267,23.3967,0.9535
24.8564,24.775,24.5263,23.9427,23.583,0.8848
26.4161,26.1166,25.7741,25.0113,24.438,1.6294
24.924,24.5809,24.0158,23.9372,23.6123,2.1462
25.4297,25.1062,24.2279,24.0642,23.9249,0.1882
25.8279,25.6078,24.4746,24.1664,23.9701,0.5211
25.3147,25.0478,23.8435,23.5116,23.23,0.5103
25.3933,25.1825,23.1596,22.2121,21.6361,0.5832
24.8684,24.7463,23.8306,23.2249,22.966,0.7044
25.0638,24.9239,24.1371,23.6195,23.3548,0.6776
25.8004,25.3026,24.6213,24.2744,24.0299,2.248
25.3671,25.2738,24.491,24.1718,24.1171,0.549
25.0067,24.9148,23.8007,23.5467,23.3376,0.4289
26.2368,25.9405,24.8638,24.1297,23.5866,0.9704
24.7461,24.5174,23.9783,23.5657,23.0747,1.4434
25.307,25.2004,24.8626,24.7078,24.5932,2.1689
25.6278,25.4367,24.167,23.7634,23.5375,0.5284
25.1216,24.9435,24.2001,23.7709,23.6631,0.6623
25.2673,25.2679,24.9208,24.7269,24.6279,1.7163
25.1279,25.2803,24.8214,24.426,23.7625,1.184
